OLD LGA ID,New LGA-ID,LGA,OLD state id,NEW STATE ID,State,Composite,Wallet,Wallet_ID,Federal Constituency,Federal_Constituency_ID,Senatorial Zone,Senatorial_ID,Geo-Political Zone,Geopolitical_ID,
2,1,Aba North,1,1,ABIA,Aba North_ABIA,Aku,2,ABA NORTH/ABA SOUTH,1,ABIA South,3,South-East,4,
3,2,Aba South,1,1,ABIA,Aba South_ABIA,Aku,2,ABA NORTH/ABA SOUTH,1,ABIA South,3,South-East,4,
4,3,Arochukwu,1,1,ABIA,Arochukwu_ABIA,Eyowo,1,AROCHUKWU/OHAFIA,2,ABIA North,2,South-East,4,
5,4,Bende,1,1,ABIA,Bende_ABIA,Eyowo,1,BENDE,3,ABIA North,2,South-East,4,
6,5,Ikwuano,1,1,ABIA,Ikwuano_ABIA,Eyowo,1,IKWUANO/UMUAHIA NORTH/UMUAHIA SOUTH,4,ABIA Central,1,South-East,4,
7,6,Isiala Ngwa North,1,1,ABIA,Isiala Ngwa North_ABIA,Eyowo,1,ISIALA NGWA NORTH/SOUTH,5,ABIA Central,1,South-East,4,
8,7,Isiala Ngwa South,1,1,ABIA,Isiala Ngwa South_ABIA,Eyowo,1,ISIALA NGWA NORTH/SOUTH,5,ABIA Central,1,South-East,4,
9,8,Isuikwuato,1,1,ABIA,Isuikwuato_ABIA,Eyowo,1,UMU-NNEOCHI/ISUIKWUATO,8,ABIA North,2,South-East,4,
10,9,Obi Ngwa,1,1,ABIA,Obi Ngwa_ABIA,Aku,2,OBINGWA/OSISIOMA/UGWUNAGBO,6,ABIA South,3,South-East,4,
11,10,Ohafia,1,1,ABIA,Ohafia_ABIA,Eyowo,1,AROCHUKWU/OHAFIA,2,ABIA North,2,South-East,4,
12,11,Osisioma,1,1,ABIA,Osisioma_ABIA,Aku,2,OBINGWA/OSISIOMA/UGWUNAGBO,6,ABIA Central,1,South-East,4,
14,12,Ugwunagbo,1,1,ABIA,Ugwunagbo_ABIA,Aku,2,OBINGWA/OSISIOMA/UGWUNAGBO,6,ABIA South,3,South-East,4,
15,13,Ukwa East,1,1,ABIA,Ukwa East_ABIA,Aku,2,UKWA EAST/ UKWA WEST,7,ABIA South,3,South-East,4,
16,14,Ukwa West,1,1,ABIA,Ukwa West_ABIA,Aku,2,UKWA EAST/ UKWA WEST,7,ABIA South,3,South-East,4,
17,15,Umuahia North,1,1,ABIA,Umuahia North_ABIA,Eyowo,1,IKWUANO/UMUAHIA NORTH/UMUAHIA SOUTH,4,ABIA Central,1,South-East,4,
18,16,Umuahia South,1,1,ABIA,Umuahia South_ABIA,Eyowo,1,IKWUANO/UMUAHIA NORTH/UMUAHIA SOUTH,4,ABIA Central,1,South-East,4,
19,17,Umunneochi,1,1,ABIA,Umunneochi_ABIA,Eyowo,1,UMU-NNEOCHI/ISUIKWUATO,8,ABIA North,2,South-East,4,
26,18,Demsa,3,2,ADAMAWA,Demsa_ADAMAWA,Aku,2,LAMURDE/NUMAN/DEMSA,13,ADAMAWA South,6,North-East,2,
27,19,Fufure,3,2,ADAMAWA,Fufure_ADAMAWA,Aku,2,SONG/FUFORE,18,ADAMAWA Central,4,North-East,2,
28,20,Ganye,3,2,ADAMAWA,Ganye_ADAMAWA,Aku,2,MAYO BELWA/TOUNGO/JADA/GANYE,16,ADAMAWA South,6,North-East,2,
31,21,Gayuk,3,2,ADAMAWA,Gayuk_ADAMAWA,Aku,2,SHELLENG/GUYUK,17,ADAMAWA South,6,North-East,2,
29,22,Girei,3,2,ADAMAWA,Girei_ADAMAWA,Aku,2,GIREI/YOLA NORTH/YOLA SOUTH,11,ADAMAWA Central,4,North-East,2,
30,23,Gombi,3,2,ADAMAWA,Gombi_ADAMAWA,Aku,2,HONG/GOMBI,12,ADAMAWA Central,4,North-East,2,
32,24,Hong,3,2,ADAMAWA,Hong_ADAMAWA,Aku,2,HONG/GOMBI,12,ADAMAWA Central,4,North-East,2,
33,25,Jada,3,2,ADAMAWA,Jada_ADAMAWA,Aku,2,MAYO BELWA/TOUNGO/JADA/GANYE,16,ADAMAWA South,6,North-East,2,
34,26,Lamurde,3,2,ADAMAWA,Lamurde_ADAMAWA,Aku,2,LAMURDE/NUMAN/DEMSA,13,ADAMAWA South,6,North-East,2,
